review_comment_message,IDHM,customer_state,review_comment_message_english,IDHM_low
Prazo de entrega excelente e produto cuidadosamente embalado! Recomendo!,0.746,RS,Excellent delivery time and carefully packed product!I recommend it!,False
"Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece",0.746,RS,"I received only 1 unit requested, should be 2, including it was charged and contained in the invoice.I'm trying to contact the store for 4 days.Inform you that you will send me by email the contact of the provides",False
"Inicialmente, pedi o cancelamento do pedido devido a falta de atualização com o produto, hoje sei que é erro do APLICATIVO e não do vendedor.",0.761,RJ,"Initially, I requested the cancellation of the order due to the lack of update with the product, today I know it is the application error and not the seller.",False
Potente e grande. ,0.783,SP,Powerful and large.,False
Entrega antes da data marcada. Excelente,0.761,RJ,Delivery before the scheduled date.Excellent,False
"Pedir 2 capinhas,estou pagando as duas e só veio uma.Entao não estou nada satisfeita e espero que seja reparado esse erro.",0.665,SE,"Ask for 2 cases, I am paying both and only one came. I am not satisfied and I hope this error will be repaired.",True
Não recebi,0.783,SP,I didn't receive,False
"Somente a Mala Pequena Bordo Avião 360º Viagem Seanite Preta 12771 foi entregue.
O Auto Transformador Automático Bivolt 5000va Até 12.000 Btus ainda não foi entregue.",0.731,MG,"Only the Small Bag 360th Seanite Black Trip 12771 was delivered.
The auto transformer Bivolt 5000VA up to 12,000 btus has not yet been delivered.",False
"Pensei que a cinta seria mais larga.
É muito estreita para cargas pesadas",0.66,BA,"I thought the strap would be wider.
It is very narrow for heavy loads",True
Agora é testar para avaliar se é de qualidade. Mas até agora tudo certo.,0.731,MG,Now is testing to evaluate if it is of quality.But so far all right.,False
Passei e-mail solicitando suporte para fazer o produto funciona,0.774,SC,I email requesting support to make the product works,False
O produto é uma ótima decoração para deixar o ambiente lindo. ,0.783,SP,The product is a great decoration to make the environment beautiful.,False
 produto otimo,0.731,MG,optimal product,False
Muito bom o produto e preço cobrado!,0.746,RS,Very good product and price charged!,False
Tudo em ordem.,0.783,SP,All in order.,False
O produto veio em perfeitas condições e chegou antes do prazo. Parabéns pelo atendimento. ,0.783,SP,The product came in perfect condition and arrived before the deadline.Congratulations on the service.,False
"Os outros produtos, a loja ofereceu mas não cumpriu com a entrega.",0.731,MG,"The other products, the store offered but did not comply with delivery.",False
"Tudo conforme o combinado!! Entrega antes do prazo, ficamos felizes e satisfeitos! Parabéns!
",0.783,SP,"Everything as agreed !!Delivery before the deadline, we are happy and satisfied!Congratulations!",False
Recebi 22 dias antes do prazo,0.783,SP,I received 22 days before the deadline,False
Chegou antes do prazo e o produto é exatamente pedido o que eu queria,0.783,SP,Arrived before the deadline and the product is exactly requested what I wanted,False
"Boa noite, não recebi o escorredor de louça, Continuo no aguardo",0.783,SP,"Good night, I didn't receive the dishes, I'm still waiting",False
Não recebi o produto até a presente data na minha residência. ,0.761,RJ,I did not receive the product to date at my residence.,False
"Muito bom
",0.761,RJ,Very good,False
Espero que seja sempre assim rápido e produto perfeito.,0.761,RJ,I hope it is always like this fast and perfect product.,False
O prazo de entrega é muito longo,0.761,RJ,The delivery time is very long,False
COMO VOU AVALIAR UM PRODUTO QUE NÃO RECEBI,0.761,RJ,How I will evaluate a product I didn't receive,False
Recomendado,0.761,RJ,Recommended,False
Só foi entregue 1 dos 3 produtos q comprei ,0.783,SP,Only 1 of the 3 products I bought was delivered,False
"O suporte veio com um parafuso espanado... Como eu precisava urgente, não devolvi pra trocar e meu primo soldou... Mas fora isso,o suporte é ótimo!!!",0.783,SP,"The support came with a living screw ... as I needed urgent, I did not return to change and my cousin Solidou ... but otherwise, the support is great !!!",False
Muito bom entregou até antes do dia 😆😆😆😆😆😆😆😆,0.783,SP,Very good delivered even before the day 😆😆😆😆😆😆😆😆,False
mais ou menos o produto veio faltando uma peca,0.658,PB,more or less the product was missing a sin,True
Produto não corresponde às expectativas ,0.783,SP,Product does not meet expectations,False
"Chegou antes do prazo , super recomendo ",0.783,SP,"Arrived before the deadline, super recommend",False
Nao gostei do produto pois veio com detalhes no acabamento e com sinais que ja foram uzados,0.731,MG,I did not like the product because it came with details in the finish and with signs that have already been used,False
eu adorei... e é uma gracinha... estava doida p chegar..é um produto de otima qualidade,0.731,MG,I loved it ... and it's a cute ... I was crazy to arrive ... it's a product of great quality,False
Superou minha expectativa!,0.783,SP,Exceeded my expectation!,False
Recebi um produto velho ,0.783,SP,I received an old product,False
Minha opinião é que se comprei o produto ele tinha que ser entregue e não receber um notificação que seria dado como entregue o produto...então a empresa me devolva meu dinheiro!!,0.731,MG,My opinion is that if I bought the product it had to be delivered and not receive a notification that would be given as delivered the product ... So the company return me my money !!,False
"Muito bom, apenas uma não está funcionando.",0.783,SP,"Very good, only one is not working.",False
"muito bom otimo
",0.783,SP,very good great,False
"Rápido, claro e objetivo. Produto excelente. Recomendo!",0.749,PR,"Fast, clear and objective.Excellent product.I recommend it!",False
Chegou antes do prazo e embalado corretamente,0.774,SC,Arrived before the deadline and packaged correctly,False
Excelente serviço e os produtos foram exatamente o que eu esperava.,0.783,SP,Excellent service and the products were exactly what I expected.,False
Ótimo produto ,0.66,BA,Great product,True
ok,0.783,SP,OK,False
Faltou a FLANGE da cadeira que e considerada a peça mais importante.,0.783,SP,The flange of the chair was missing that is considered the most important piece.,False
Entrega muito rapida ,0.783,SP,Very fast delivery,False
Não chegou ainda,0.783,SP,Hasn't arrived yet,False
"Entrega antes do prazo, e produto ótimo.",0.731,MG,"Delivery before the deadline, and great product.",False
Ótimo!!!,0.783,SP,Excellent!!!,False
"Solicitei a devolução do pedido!Devido a ter feito outra compra, mas tudo veio certinho no outro pedido!",0.731,MG,"I requested the return of the order! Due to making another purchase, but everything came right in the other order!",False
Eu recomendo um execelente de entregue muito rápido. ,0.783,SP,I recommend a great delivery very fast.,False
ok,0.749,PR,OK,False
Um pézinho maior que o outros ,0.783,SP,A bigger foot than others,False
"Gostei muito, sempre que precisar irei comprar.",0.731,MG,"I really liked it, whenever I need to buy it.",False
Muito bom ,0.783,SP,Very good,False
Empresa Confiável,0.783,SP,Reliable company,False
"A embalagem do produto estava aberta e a caixa plástica da fonte estava rachada. Visivelmente o produto já havia sido utilizado. Mas de qualquer forma, funcionou perfeitamente.
",0.746,RS,"The product package was open and the source plastic box was cracked.Visibly the product had already been used.But anyway, it worked perfectly.",False
"Estou tentando ver se os parceiros da stark continuem com seus compromissos aos seus clientes. E pontualidade 
",0.708,AP,I am trying to see if Stark's partners continue to their commitments to their customers.And punctuality,True
Produto como descrito.,0.774,SC,Product as described.,False
como sempre amaricanas é impecavel no atendimento na venda e na entrega,0.746,RS,as always Amaricanas is impeccable in service in sale and delivery,False
Produto atendeu a expectativa,0.731,MG,Product met the expectation,False
Entrega antes do prazo e produto de ótima qualidade amei!!!,0.729,MS,Delivery before the deadline and product of great quality loved !!!,False
"Super recomendo, é exatamente como pensei, chegou com 9 dias antes. Parabéns baratheon.",0.783,SP,"Super recommend, it is exactly as I thought, arrived 9 days before.Congratulations Baratheon.",False
Não interessa se opera Market Place. A compra foi feita no site da lannister e pago para lannister. Se tiver que ajuizar vai ser contra lannister e lá faça o regresso contra o fornecedor.,0.774,SC,It doesn't matter if you operate Market Place.The purchase was made on the Lannister website and paid to Lannister.If you have to file it will be against Lannister and make the return against the supplier.,False
Confiabilidade com informações corretas e prestezas nas entregas.,0.731,MG,Reliability with correct information and prompt deliveries.,False
"Produto de boa qualidade, chegou antes do prazo, vendedor extremamente atencioso.",0.749,PR,"Good quality product, arrived before the deadline, extremely attentive seller.",False
entrega antes do prazo ,0.774,SC,Delivery before the deadline,False
Satisfeito 100%; recebi bem antes do prazo estimado; só falta testá-lo (não acompanha o cartucho de tinta),0.783,SP,Satisfied 100%;I received well before the estimated deadline;just missing it (does not accompany the ink cartridge),False
Gostei do que comprei e ficou muito legal na moto,0.783,SP,I liked what I bought and it was really cool on the bike,False
Bom atendimento,0.783,SP,Good service,False
"indico produto de alta qualidade, recebi antes do prazo combinado.",0.783,SP,"I indicate high quality product, I received before the agreed deadline.",False
Mais bonita do que eu esperava. O tecido é lindo e ficou linda na janela. ,0.783,SP,More beautiful than I expected.The fabric is beautiful and was beautiful in the window.,False
"Entrega rápida e bem antes do previsto, estou bem satisfeita!",0.761,RJ,"Fast delivery and well before expected, I am very pleased!",False
o produto veio no prazo .. veio super rápido ADOREI. RECOMENDO,0.761,RJ,The product came on time .. came super fast I loved it.Recommend,False
"Veio muito rápido, obrigado!!",0.783,SP,"Came very fast, thanks !!",False
gostei muito do produto atendeu todas as minhas expectativas.,0.749,PR,I really liked the product met all my expectations.,False
Anunciam um produto que não tem em estoque e ainda não cancelaram a compra no meu cartão!,0.774,SC,Advertise a product that is not in stock and have not yet canceled the purchase on my card!,False
Estou muito satisfeita ,0.66,BA,I am very satisfied,True
Prático!,0.735,GO,Practical!,False
Gostei doproduto comprado obrigado.,0.746,RS,I liked the product bought thanks.,False
"então,mesmo o produto sendo entregue no prazo,ele ainda teve uma demora de quase 15 dias",0.783,SP,"So even the product being delivered on time, it still had a delay of almost 15 days",False
atendimento ótimo em todos os sentido,0.783,SP,Great service in all directions,False
"Comprei um produto e não entregaram. 
Pedi o cancelado do produto.",0.761,RJ,"I bought a product and did not deliver. 
I ordered the canceled product.",False
comprei vei certinho esse pedido mas umas banquetas que comprei antes desse pedido agora não chegou falaram que entregou mas eu n recebi comprei antes desse pedido e nao chegou,0.783,SP,I bought vei just this order but some stools that I bought before this order now did not arrive that delivered but I did not receive bought before this order and did not arrive,False
Entrega super rápida. Produto é bom. ,0.783,SP,Super fast delivery.Product is good.,False
Lindo o kit. Entrega rápida. RECOMENDO ,0.731,MG,Beautiful kit.Quick delivery.Recommend,False
Não chegou.,0.761,RJ,It didn't arrive.,False
targaryen não entregou os produtos completos. No dois itens comprados veio faltando unidades.,0.735,GO,"Targaryen did not deliver the full products.In two purchased items, units were missing.",False
Entrega super rápida!!!,0.783,SP,Super fast delivery !!!,False
"Ótimo produto, veio perfeitamente embalado, atende todas necessidades que precisávamos. Loja muito atenciosa.",0.774,SC,"Great product, it came perfectly packed, meets all the needs we needed.Very attentive store.",False
não recebi o produto consta que o mesmo voltou para o remetente. como faço para que possa reviar-lo?,0.66,BA,I did not receive the product that it returned to the sender.How do I get it to revive it?,True
"nada tenho a declara, um abraço",0.783,SP,"I have nothing declares, a hug",False
"Preciso alizar a troca do produto que está com defeito e não consigo registrar a solicitação no SITE. No item ""TROCAS E DEVOLUÇÕES"" sempre informa que está com problema de comunicação.
Aguardo retorn",0.749,PR,"I need to make the exchange of the product that is defective and can not register the request on the site.In the item ""exchanges and returns"" always informs that it has a communication problem.
I await return",False
Parabéns produto muito bom 👍,0.74,ES,Congratulations very good product 👍,False
O produto atendeu com as minhas espectativas,0.761,RJ,The product met with my expectations,False
Não recebi o pedido no tempo estimado e não fui informada do porque do atraso.,0.731,MG,I did not receive the order in the estimated time and was not informed of why the delay.,False
Otimo produto. Igual a foto.,0.783,SP,Great product.Just like the photo.,False
Produto chegou no prazo e correto ,0.735,GO,Product arrived on time and correct,False
"Foi excelente por estar dentro do periodo
Definido",0.66,BA,"It was excellent for being inside the period
Defined",True
entrega 14 dias antes do prazo estabelecido,0.731,MG,Delivery 14 days before the established deadline,False
Produto de excelente qualidade,0.673,PE,Excellent quality product,True
"Produto extremamente pequeno e leve, mas que teve um frete muito caro e cada unidade foi enviada em uma pacote separado (para justificar o frete, talvez)",0.761,RJ,"Extremely small and lightweight product that had a very expensive freight and each unit was sent in a separate package (to justify the freight, perhaps)",False
"Me entregaram faltando um pote, insatisfação",0.761,RJ,"Delivered me a pot, dissatisfaction",False
Excelente vai ser muito útil. Muito obrigado!,0.682,CE,Excellent will be very useful.Thank you very much!,True
"Recebi o produto, porém o mesmo veio com o encosto do braço quebrado.
Sugiro à loja que acondicione melhor os seus produtos, uma vez que veio embalado em um papel fino comum.",0.731,MG,"I received the product, but it came with the backrest of the broken arm.
I suggest to the store that best suits your products as it has been packed in a common role.",False
Recomendo,0.783,SP,Recommend,False
"Comprei a cada de pneu. Chegou conforme combinado, no prazo. Tudo certo. Recomendo.",0.639,MA,"I bought each tire.It arrived as agreed, on time.All very well.I recommend.",True
N gostei do produto n era oq imaginei nem oq eu eeperava,0.783,SP,N I liked the product n was what I imagined not even what I was,False
Muito bom,0.749,PR,Very good,False
Foi ótimo ,0.824,DF,It was amazing,False
"Meus parabéns,continuem assim",0.783,SP,"Congratulations, continue like this",False
"O produto não foi entregue na minha residencia, precisei retira-lo nos correios.",0.783,SP,"The product was not delivered to my residence, I had to remove it at the post office.",False
"Não recebi a quantidade correta, estou aguardando posição da targaryen, mas até agora não me deram retorno",0.783,SP,"I did not receive the correct amount, I am waiting for Targaryen's position, but so far they have not given me return",False
O prazo era até dia 23/03 e até o momento não recebi. Quero saber o que está acontecendo.,0.749,PR,The deadline was until 03/23 and so far I have not received it.I want to know what is happening.,False
"Comprei pensando que ia vir conforme a foto, vel branco e a parte baixo bege, porém veio tudo bege.",0.749,PR,"I bought thinking that it was going to come according to the photo, white and the bass beige, but it all came.",False
"ainda não recebi o produto acredito que não seja culpa do vendedor e sim dos correios , e estou com urgência 

o produto se encontra parado nos correiros na data de 01/05/17 ",0.761,RJ,"I have not received the product yet I believe it is not the fault of the seller but the post office, and I am urgent 

The product is stopped in the runners on 05/01/17",False
"BOM DIA, NAO RECEBI O DHEA, SOMENTE O RECYCLE, QUAL PROCEDIMENTO PRECISO FAZER? PRECISO RESOLVER ISSO
OBRIGADO",0.783,SP,"Good morning, I didn't receive Dhea, only Recycle, what procedure do I need to do?I need to solve this
THANKS",False
Fiz o cancelamento da compra há 13 dias (Data em posto esse comentário). E até agora não cancelaram minha compra no cartão.,0.783,SP,I canceled the purchase 13 days ago (date on all this comment).And so far they have not canceled my purchase on the card.,False
ESPETACULAR.,0.673,PE,SPECTACULAR.,True
"Produto demorou a chegar e veio diferente do que foi pedido... pedi X veio Y, nada haver...",0.735,GO,"Product was slow to arrive and came different from what was asked ... I asked x came y, nothing there ...",False
"entrega rápida , produto de qualidade, e preço bom",0.783,SP,"Fast delivery, quality product, and good price",False
Ótimo produto,0.731,MG,Great product,False
"O produro chegou dentro do prazo, é bem leve e a caixinha é de papelão! Não veio com o certificado de garantia, somente manual. O tamanho é bom e a cor é dourado claro, nada muito chamativo!",0.761,RJ,"The product arrived on time, is very light and the box is cardboard!It did not come with the warranty certificate, only manual.The size is good and the color is golden gold, nothing very flashy!",False
ótimo foi ara dar de Presente a minha Cunhada amou super Feliz,0.783,SP,GREAT WAS TO GIVE MY SHORT LOVED SUPER HAPPY,False
"Comprei DOIS porta talheres e recebi apenas UM até o momento, juntamente com uma NF onde constam dois produtos.",0.824,DF,"I bought two cutlery holders and received only one so far, along with an NF where there are two products.",False
Obrigado vocês estão de parabéns produtos excelente ,0.682,CE,Thanks you are to be congratulated excellent products,True
O produto ainda não chegou,0.735,GO,The product has not yet arrived,False
"Mais respeito ao consumidor, era para presente!!",0.761,RJ,"More respect for the consumer, it was for a gift !!",False
"Gostei do produto, porém entregaram apenas 1 unidade, faltou uma unidade do produto, algo aconteceu durante na entrega",0.749,PR,"I liked the product, but they delivered only 1 unit, missing a unit of the product, something happened during delivery",False
"Meu produto não chegou. Isso gerou estresse e eu não estou conseguindo fazer a devolução. Caso isso aconteça, vou por na justiça.",0.761,RJ,"My product has not arrived.This has generated stress and I can't get the return.If this happens, I go to court.",False
"Muito enrolado. Já liguei para o stark, ficaram de me retornar em dois dias e até agora nada ",0.646,PI,"Very curled.I already called Stark, they have returned to return in two days and so far nothing",True
obrigado ,0.646,PA,thanks,True
"Mercadoria entregue antes do prazo
",0.673,PE,Goods delivered before the deadline,True
Muito bom! produto de boa qualidade e entregue no prazo.,0.731,MG,Very good!Good quality product and delivered on time.,False
ainda não recebi o produto. ninguém entrou em contato. NÃo recomendo a ninguém . sou cliente baratheon mt tempo primeira vez que acontece essa situação. ,0.761,RJ,I haven't received the product yet.No one contacted.I do not recommend to anyone.I am a customer Baratheon mt time first time this situation happens.,False
"Recebi 5 anilhas, faltou apenas 1 de 3kg",0.783,SP,"I received 5 washers, only 1 of 3kg missed",False
"Produto chegou no prazo,porem, nao veio na medida correta.
Tentei entrar em contato para troca ou devolucao e nao obtive nenhuma resposta.",0.761,RJ,"Product arrived on time, but it did not come to the right measure.
I tried to get in touch for exchange or return and got no answer.",False
"Chegou tudo perfeito, muito antes do prazo, porém o pendente tem uma peça de plástico pequena, aquela que liga na caixa de luz, a rosca é curta.",0.731,MG,"Everything arrived perfect, long before the deadline, but the pendant has a small plastic piece, the one that turns on the light box, the thread is short.",False
"Comprei duas unidades, foi entregue somente uma. ",0.783,SP,"I bought two units, only one was delivered.",False
"Apesar de terem emitido Nfe com dados incorretos, corrigiram e o produto foi entregue, mas fora do prazo. Mesmo assim recomendo!!!",0.783,SP,"Although they issued NFe with incorrect data, they corrected and the product was delivered, but late.Even so I recommend !!!",False
Excelente aquisicao,0.731,MG,Excellent purchase,False
Um ótimo produto,0.783,SP,A great product,False
"Chegou mais rápido que o prazo previsto, fiquei muito feliz com isso. Ja estou usando o produto e gostei muito. Ja comprei outras vezes no baratheon e vou continuar comprando. Site de muita confiança! ",0.74,ES,"It arrived faster than the expected deadline, I was very happy with it.I'm already using the product and I liked it a lot.I already bought it other times at Baratheon and I will continue to buy.Very confidence site!",False
AINDA NAO RECEBI O PRODUTO.,0.682,CE,I have not received the product yet.,True
"O produto chegou antes do prazo e em perfeito estado, estou muito satisfeito com a compra.",0.761,RJ,"The product arrived before the deadline and in perfect condition, I am very pleased with the purchase.",False
Entrega antes do prazo,0.783,SP,Delivery before the deadline,False
"produto compacto, atendeu as expectativas, e como sempre entrega antes do prazo.",0.731,MG,"Compact product, met expectations, and as always delivers before the deadline.",False
"No anuncio não diz que o produto é ""compatível"" comprei como se fosse Original, apenas percebi quando chegou, se eu soubesse que não era original não teria comprado.",0.731,MG,"In the ad does not say that the product is ""compatible"" bought as if it were original, I just realized when it arrived, if I knew it was not original would not have bought.",False
Estou super satisfeita....super recomendo,0.783,SP,I'm super satisfied .... super recommend,False
Sempre comprei no baratheon e nunca tive problemas poren as duas últimas compras deixou a desejar. .,0.783,SP,I always bought it at Baratheon and never had problems for the last two purchases left something to be desired..,False
Muito bom ...,0.783,SP,Very good ...,False
"Ainda não usei, mas chegou antes do prazo e em perfeito estado.",0.731,MG,"I haven't used it yet, but it arrived before the deadline and in perfect condition.",False
"ESTOU SUPER SATISFEITA COM ESSE SITE ,AS MERCADORIAS CHEGAM EM PERFEITAS CONDICOES E PRAZO DESEJÁ
VEL !!!!",0.731,MG,"I am super satisfied with this site, the goods arrive in perfect condition and deadline
Vel !!!!",False
"Chegou até mesmo antes do prazo de entrega, muito bom o produto, recomendo.",0.783,SP,"It even arrived before the delivery time, very good the product, I recommend.",False
Atençao completa adorei quando abri e ja estava embrulhado para presente.,0.783,SP,Full attention I loved it when I opened and was already wrapped for a gift.,False
so não fiquei mais satisfeita porque tive que retirar nos correios,0.761,RJ,I was only not satisfied because I had to remove at the post office,False
"entrega antes do prazo. ótima
",0.761,RJ,delivery before the deadline.excellent,False
"O produto apresenta riscos, aparência de usado, apesar de estar funcionando.
O produto foi entregue em embalagem, porém envolto em papel bolha, não acondicionado em caixa.",0.729,MS,"The product has risks, used appearance, although it is working.
The product was delivered in packaging, but wrapped in bubble paper, not packed in cash.",False
"produto como descrito, satisfeitíssima com a compra.",0.735,GO,"Product as described, very satisfied with the purchase.",False
Com certeza comprarei outros produtos.,0.735,GO,I will definitely buy other products.,False
"Não é a primeira vez de atraso na entrega, quando consegue falar a atendente ainda pede um prazo de dois dias, fora o atraso, infelizmente as mudanças de entrega dos parceiros não está sendo pratica",0.783,SP,"It is not the first time of delay in delivery, when you can speak the attendant still asks for a period of two days, apart from the delay, unfortunately the changes of delivery of the partners is not being practical",False
Muito bom!!,0.783,SP,Very good!!,False
"Foi entregue no prazo, adorei o produto, tá de parabéns",0.735,GO,"It was delivered on time, I loved the product, congratulations",False
Produto excelente,0.783,SP,Excellent product,False
"Produto bonito, no entanto de má qualidade, não correspondendo ao esperado como joia de qualidade, com algumas manchas escuras na corrente do pingente.",0.749,PR,"Beautiful product, however poor quality, not corresponding to the expected as quality jewel, with some dark spots on the pendant chain.",False
Produto entregue muito rápido. Fiquei muito satisfeita!Obrigada. ,0.783,SP,Product delivered very fast.I was very pleased!,False
O mocho não tem nem 6 meses de uso e a parte da estrutura já está rachando! Produto de péssima qualidade!,0.783,SP,The copa is not even 6 months of use and the part of the structure is already cracking!Poor quality product!,False
"Veio com a voltagem 220,sendo que pedi 110",0.783,SP,"Came with voltage 220, and I ordered 110",False
Produto recebido com sucesso!,0.66,BA,Product received successfully!,True
o produto não chegou,0.735,GO,The product did not arrive,False
"Entrega feita em menos de uma semana;
Produto ótimo ;
Muito bom!",0.783,SP,"Delivery made in less than a week;
Great product;
Very good!",False
chegou antesdo programado,0.749,PR,arrived before the scheduled,False
chegou antes do prometido,0.749,PR,arrived before the promised,False
Pelo preço vale a pena ,0.731,MG,For the price it is worth,False
Não recebi o produto e a loja nem se quer me dar uma satisfação ,0.66,BA,I did not receive the product and the store does not even want to give me a satisfaction,True
Bom o produto é bom mas eu comprei 5 radinho e só veio 3 ,0.783,SP,Well the product is good but I bought 5 radinho and only came 3,False
"Produto de ótima qualidade, fiquei super feliz com a agilidade da entrega.",0.783,SP,"Product of great quality, I was super happy with the agility of delivery.",False
Eu pedi 6 trios de pendentes e vcs só M entregaram 6 unidades este não foi meu pedido nem meu pagamento,0.66,BA,I ordered 6 trios of pending and you only delivered 6 units this was not my order or my payment,True
"O produto que veio não vale o que paguei, mau acabado e irregular.",0.761,RJ,"The product that came is not worth what I paid, bad and irregular.",False
Recebi o produto dentro do prazo.tudo ok,0.783,SP,I received the product on time.,False
"eu amei meu tapete
",0.639,MA,I loved my rug,True
"Chegou no prazo, e de ótima qualidade, eu recomendo...",0.725,MT,"Arrived on time, and of great quality, I recommend ...",False
Ola eu comprei 3 peças iguais de 59.90$ apenas um foi entregue os outros 2 produtos ainda nao foram entregue. Preciso de uma informaçao sobre issu urgente. Pois estou sendo cobrado pelo 3 produtos. ,0.783,SP,Hello I bought 3 equal pieces of 59.90 $ only one was delivered the other 2 products have not yet been delivered.I need an information about urgent issui.Because I am being charged by 3 products.,False
Foi muito bom fazer a compra,0.74,ES,It was very good to make the purchase,False
muito prático e pontual.,0.783,SP,very practical and punctual.,False
"Recomendo sim, chegou muito antes do prazo e ótimo produto!",0.746,RS,"I recommend yes, it arrived long before the deadline and great product!",False
Meu filho gostou e ficou super feliz!,0.824,DF,My son liked it and was super happy!,False
"Comprei de presente para minha filha, ela gostou muito. É um produto muito fácil de montar. Chegou dentro do prazo..",0.74,ES,"I bought it as a gift for my daughter, she liked it a lot.It is a very easy product to assemble.Arrived on time ..",False
"Amei o produto, do jeito que eu esperava e imaginava! Já usei muito ",0.783,SP,"I loved the product, the way I expected and imagined!I've used a lot",False
"Produto muito barulhento e a velocidade dele ocila muito e trava tb
Nao recomendo ou o meu veio com defeito ",0.783,SP,"Very noisy product and its speed ocilates a lot and locks also
I do not recommend or mine came with defect",False
"Bom
",0.746,RS,Good,False
"O pedido, não chegou com a quantidade correta. Faltou o Suporte De Peito Cinta Peitoral Para Camera Gopro Go Pro, faltou um Adaptador Conector P2 Macho P10 Femea Estereo Microfone sendo 3.",0.731,MG,"The order, did not arrive with the correct amount.Missed the chest brain support for the camera goopro go pro, missing an adapter P2 male p10 p10 female stereo microphone being 3.",False
"Chegou o produto atrasado, faltando outro. Falta chegar os demais. O cliente está zangado.",0.639,MA,"The product was late, another one left.The others have to arrive.The customer is angry.",True
Produto foi entregue antes do prazo. Ótima qualidade. ,0.783,SP,Product was delivered before the deadline.Great quality.,False
o produto é bom,0.783,SP,The product is good,False
"Olá!
Minha queixa é a não entrega na residência. Tive que buscar no correio. Tenho um produto que foi devolvido, e ainda nem sei o que fazer. Talvez um telefonema ajudasse. ",0.783,SP,"Hello!
My complaint is not delivery to the residence.I had to search in the mail.I have a product that has been returned, and I don't even know what to do.Maybe a phone call would help.",False
"Holá!
Não recebi o produto é nem um telefonema referente ao que comprei.",0.783,SP,"Holá!
I did not receive the product is even a phone call regarding what I bought.",False
stark e a loja que entrga mais rapido.,0.731,MG,Stark and the store that delivers faster.,False
Produto de ótima qualidade e chegou bem antes do prazo previsto de entrega! Estou muito satisfeita!,0.783,SP,Great quality product and arrived well before the expected delivery time!I am very pleased!,False
trabalho com profissionalismo das lojas lannister. indico com certeza,0.731,MG,I work with professionalism from Lannister stores.I indicate for sure,False
Ótimo fornecedor ,0.783,SP,Great supplier,False
"meu produto veio com o cabo todo arranhado, produto parece usado",0.783,SP,"My product came with all scratched cable, product seems used",False
Chegou bem antes do prazo e tudo certinho,0.783,SP,Arrived well before the deadline and everything right,False
